table_name,column_name,column_order,data_type,n_rows,n_with_data,n_distinct,pct_with_data,est_rows_same_value,likely_pii,action
mdjs_payment_plan_data,active,5,VARCHAR,24093,24093,2,1,12046.5,FALSE,group: dichotomous
mdjs_payment_plan_data,docket_number,1,VARCHAR,24093,24093,23918,1,1.01,FALSE,key
mdjs_payment_plan_data,due_date,4,VARCHAR,24093,545,285,0.022620678205287844,1.91,FALSE,drop: many nulls
mdjs_payment_plan_data,next_due_amt,6,DOUBLE,24093,24093,273,1,88.25,FALSE,numeric
mdjs_payment_plan_data,otn,2,VARCHAR,24093,24088,23914,0.9997924708421533,1.01,FALSE,key
mdjs_payment_plan_data,overdue_amt,7,DOUBLE,24093,24093,253,1,95.23,FALSE,numeric
mdjs_payment_plan_data,payment_plan_frequency,3,VARCHAR,24093,24093,6,1,4015.5,FALSE,group: <= 10
mdjs_sentence_data,case_disposition,13,VARCHAR,22868,22868,5,1,4573.6,FALSE,group: <= 10
mdjs_sentence_data,docket_number,1,VARCHAR,22868,22868,21693,1,1.05,FALSE,key
mdjs_sentence_data,end_date,8,VARCHAR,22868,19986,4384,0.8739723631275145,4.56,FALSE,date
mdjs_sentence_data,facility_location,9,VARCHAR,22868,3665,93,0.1602676228791324,39.41,FALSE,drop: many nulls
mdjs_sentence_data,judge_name,15,VARCHAR,22868,22868,350,1,65.34,FALSE,other
mdjs_sentence_data,offense_disposition,14,VARCHAR,22868,22868,5,1,4573.6,FALSE,group: <= 10
mdjs_sentence_data,offense_sequence_number,3,DOUBLE,22868,22868,30,1,762.27,FALSE,numeric
mdjs_sentence_data,otn,2,VARCHAR,22868,22868,21693,1,1.05,FALSE,key
mdjs_sentence_data,penalty_event_type,11,VARCHAR,22868,20190,6,0.8828931257652615,3365,FALSE,group: <= 10
mdjs_sentence_data,penalty_type,4,VARCHAR,22868,22868,4,1,5717,FALSE,group: <= 10
